Strain,Phage,day,temperature,ph,inoculum,milk_batch,(milk_batch-21),milk_age ,milk_apc,cheese_make,cheese_plate,rep,count,experiment
10403S,N,14,6,6,1.58E+05,7/17/17,6/26/17,9,399,7/5/17,e,2,12300000,2.2
5621,N,14,6,6,1.12E+05,7/17/17,6/26/17,9,399,7/5/17,e,2,93250000,2.2
5623,N,14,6,6,2.28E+05,7/17/17,6/26/17,9,399,7/5/17,e,2,33600000,2.2
5624,N,14,6,6,1.95E+05,7/17/17,6/26/17,9,399,7/5/17,e,2,95300000,2.2
5625,N,14,6,6,1.01E+04,7/17/17,6/26/17,9,399,7/5/17,e,2,119950000,2.2
10403S,Y,14,6,6,1.81E+05,7/17/17,6/26/17,9,399,7/5/17,f,2,2065000,2.2
5621,Y,14,6,6,1.23E+05,7/17/17,6/26/17,9,399,7/5/17,f,2,68400000,2.2
5623,Y,14,6,6,2.63E+05,7/17/17,6/26/17,9,399,7/5/17,f,2,24550000,2.2
5624,Y,14,6,6,2.29E+05,7/17/17,6/26/17,9,399,7/5/17,f,2,84050000,2.2
5625,Y,14,6,6,1.02E+04,7/17/17,6/26/17,9,399,7/5/17,f,2,35800000,2.2
10403S,N,1,6,6,1.47E+05,7/31/17,7/10/17,8,0,7/18/17,a,3,171000,2.3
5621,N,1,6,6,2.09E+04,7/31/17,7/10/17,8,0,7/18/17,a,3,126500,2.3
5623,N,1,6,6,3.44E+03,7/31/17,7/10/17,8,0,7/18/17,a,3,5110,2.3
5624,N,1,6,6,1.52E+03,7/31/17,7/10/17,8,0,7/18/17,a,3,81500,2.3
5625,N,1,6,6,1.88E+05,7/31/17,7/10/17,8,0,7/18/17,a,3,331500,2.3
10403S,Y,1,6,6,1.27E+05,7/31/17,7/10/17,8,0,7/18/17,b,3,66400,2.3
5621,Y,1,6,6,2.38E+04,7/31/17,7/10/17,8,0,7/18/17,b,3,39050,2.3
5623,Y,1,6,6,3.72E+03,7/31/17,7/10/17,8,0,7/18/17,b,3,2865,2.3
5624,Y,1,6,6,1.25E+03,7/31/17,7/10/17,8,0,7/18/17,b,3,18200,2.3
5625,Y,1,6,6,1.50E+05,7/31/17,7/10/17,8,0,7/18/17,b,3,305000,2.3
10403S,N,7,6,6,1.65E+05,7/31/17,7/10/17,8,0,7/18/17,c,3,1730000,2.3
5621,N,7,6,6,1.94E+04,7/31/17,7/10/17,8,0,7/18/17,c,3,3845000,2.3
5623,N,7,6,6,3.33E+03,7/31/17,7/10/17,8,0,7/18/17,c,3,1890000,2.3
5624,N,7,6,6,1.44E+03,7/31/17,7/10/17,8,0,7/18/17,c,3,5020000,2.3
5625,N,7,6,6,1.73E+05,7/31/17,7/10/17,8,0,7/18/17,c,3,26750000,2.3
10403S,Y,7,6,6,1.51E+05,7/31/17,7/10/17,8,0,7/18/17,d,3,232000,2.3
5621,Y,7,6,6,2.48E+04,7/31/17,7/10/17,8,0,7/18/17,d,3,533500,2.3
5623,Y,7,6,6,4.34E+03,7/31/17,7/10/17,8,0,7/18/17,d,3,143000,2.3
5624,Y,7,6,6,1.84E+03,7/31/17,7/10/17,8,0,7/18/17,d,3,552500,2.3
5625,Y,7,6,6,1.67E+05,7/31/17,7/10/17,8,0,7/18/17,d,3,6035000,2.3
10403S,N,14,6,6,1.67E+05,7/31/17,7/10/17,8,0,7/18/17,e,3,6050000,2.3
5621,N,14,6,6,2.33E+04,7/31/17,7/10/17,8,0,7/18/17,e,3,31300000,2.3
5623,N,14,6,6,4.06E+03,7/31/17,7/10/17,8,0,7/18/17,e,3,11500000,2.3
5624,N,14,6,6,1.72E+03,7/31/17,7/10/17,8,0,7/18/17,e,3,35350000,2.3
5625,N,14,6,6,1.78E+05,7/31/17,7/10/17,8,0,7/18/17,e,3,36400000,2.3
10403S,Y,14,6,6,1.49E+05,7/31/17,7/10/17,8,0,7/18/17,f,3,3.00E+06,2.3
5621,Y,14,6,6,2.09E+04,7/31/17,7/10/17,8,0,7/18/17,f,3,4.49E+06,2.3
5623,Y,14,6,6,3.68E+03,7/31/17,7/10/17,8,0,7/18/17,f,3,6.75E+06,2.3
5624,Y,14,6,6,1.68E+03,7/31/17,7/10/17,8,0,7/18/17,f,3,4.85E+06,2.3
5625,Y,14,6,6,1.52E+05,7/31/17,7/10/17,8,0,7/18/17,f,3,3.04E+07,2.3
10403S,N,1,6,5.5,2.07E+05,7/3/17,6/12/17,9,30.65,6/21/17,a,1,139950,3.1
5621,N,1,6,5.5,1.88E+05,7/3/17,6/12/17,9,30.65,6/21/17,a,1,220000,3.1
5623,N,1,6,5.5,1.99E+05,7/3/17,6/12/17,9,30.65,6/21/17,a,1,206000,3.1
5624,N,1,6,5.5,3.27E+05,7/3/17,6/12/17,9,30.65,6/21/17,a,1,400000,3.1
5625,N,1,6,5.5,2.52E+05,7/3/17,6/12/17,9,30.65,6/21/17,a,1,212500,3.1
10403S,Y,1,6,5.5,2.05E+05,7/3/17,6/12/17,9,30.65,6/21/17,b,1,12050,3.1
5621,Y,1,6,5.5,1.82E+05,7/3/17,6/12/17,9,30.65,6/21/17,b,1,15350,3.1
5623,Y,1,6,5.5,1.96E+05,7/3/17,6/12/17,9,30.65,6/21/17,b,1,100250,3.1
5624,Y,1,6,5.5,3.30E+05,7/3/17,6/12/17,9,30.65,6/21/17,b,1,91400,3.1
5625,Y,1,6,5.5,2.66E+05,7/3/17,6/12/17,9,30.65,6/21/17,b,1,127500,3.1
10403S,N,7,6,5.5,2.23E+05,7/3/17,6/12/17,9,30.65,6/21/17,c,1,204000,3.1
5621,N,7,6,5.5,1.96E+05,7/3/17,6/12/17,9,30.65,6/21/17,c,1,204500,3.1
5623,N,7,6,5.5,2.04E+05,7/3/17,6/12/17,9,30.65,6/21/17,c,1,306500,3.1
5624,N,7,6,5.5,3.20E+05,7/3/17,6/12/17,9,30.65,6/21/17,c,1,102000,3.1
5625,N,7,6,5.5,2.52E+05,7/3/17,6/12/17,9,30.65,6/21/17,c,1,204000,3.1
10403S,Y,7,6,5.5,2.25E+05,7/3/17,6/12/17,9,30.65,6/21/17,d,1,3065,3.1
5621,Y,7,6,5.5,1.86E+05,7/3/17,6/12/17,9,30.65,6/21/17,d,1,9195,3.1
5623,Y,7,6,5.5,2.30E+05,7/3/17,6/12/17,9,30.65,6/21/17,d,1,91950,3.1
5624,Y,7,6,5.5,3.27E+05,7/3/17,6/12/17,9,30.65,6/21/17,d,1,82750,3.1
5625,Y,7,6,5.5,2.69E+05,7/3/17,6/12/17,9,30.65,6/21/17,d,1,70500,3.1
10403S,N,14,6,5.5,2.14E+05,7/3/17,6/12/17,9,30.65,6/21/17,e,1,102000,3.1
5621,N,14,6,5.5,1.86E+05,7/3/17,6/12/17,9,30.65,6/21/17,e,1,102000,3.1
5623,N,14,6,5.5,2.08E+05,7/3/17,6/12/17,9,30.65,6/21/17,e,1,,3.1
5624,N,14,6,5.5,3.20E+05,7/3/17,6/12/17,9,30.65,6/21/17,e,1,102000,3.1
5625,N,14,6,5.5,2.73E+05,7/3/17,6/12/17,9,30.65,6/21/17,e,1,102000,3.1
10403S,Y,14,6,5.5,2.28E+05,7/3/17,6/12/17,9,30.65,6/21/17,f,1,,3.1
5621,Y,14,6,5.5,1.90E+05,7/3/17,6/12/17,9,30.65,6/21/17,f,1,20400,3.1
5623,Y,14,6,5.5,2.04E+05,7/3/17,6/12/17,9,30.65,6/21/17,f,1,81950,3.1
5624,Y,14,6,5.5,3.20E+05,7/3/17,6/12/17,9,30.65,6/21/17,f,1,51100,3.1
5625,Y,14,6,5.5,2.66E+05,7/3/17,6/12/17,9,30.65,6/21/17,f,1,81800,3.1
10403S,N,1,6,5.5,3.53E+05,7/17/17,6/26/17,10,0,7/6/17,a,2,281500,3.2
5621,N,1,6,5.5,2.95E+05,7/17/17,6/26/17,10,0,7/6/17,a,2,363000,3.2
5623,N,1,6,5.5,3.13E+05,7/17/17,6/26/17,10,0,7/6/17,a,2,422000,3.2
5624,N,1,6,5.5,6.34E+03,7/17/17,6/26/17,10,0,7/6/17,a,2,516000,3.2
5625,N,1,6,5.5,3.29E+05,7/17/17,6/26/17,10,0,7/6/17,a,2,405000,3.2
10403S,Y,1,6,5.5,3.64E+05,7/17/17,6/26/17,10,0,7/6/17,b,2,35000,3.2
5621,Y,1,6,5.5,3.04E+05,7/17/17,6/26/17,10,0,7/6/17,b,2,23750,3.2
5623,Y,1,6,5.5,3.13E+05,7/17/17,6/26/17,10,0,7/6/17,b,2,339000,3.2
5624,Y,1,6,5.5,6.66E+03,7/17/17,6/26/17,10,0,7/6/17,b,2,301500,3.2
5625,Y,1,6,5.5,3.16E+05,7/17/17,6/26/17,10,0,7/6/17,b,2,321000,3.2
10403S,N,7,6,5.5,3.83E+05,7/17/17,6/26/17,10,0,7/6/17,c,2,247500,3.2
5621,N,7,6,5.5,3.38E+05,7/17/17,6/26/17,10,0,7/6/17,c,2,112200,3.2
5623,N,7,6,5.5,3.35E+05,7/17/17,6/26/17,10,0,7/6/17,c,2,284500,3.2
5624,N,7,6,5.5,6.55E+03,7/17/17,6/26/17,10,0,7/6/17,c,2,294000,3.2
5625,N,7,6,5.5,4.10E+05,7/17/17,6/26/17,10,0,7/6/17,c,2,240000,3.2
10403S,Y,7,6,5.5,3.80E+05,7/17/17,6/26/17,10,0,7/6/17,d,2,23500,3.2
5621,Y,7,6,5.5,3.21E+05,7/17/17,6/26/17,10,0,7/6/17,d,2,8370,3.2
5623,Y,7,6,5.5,3.21E+05,7/17/17,6/26/17,10,0,7/6/17,d,2,185500,3.2
5624,Y,7,6,5.5,6.71E+03,7/17/17,6/26/17,10,0,7/6/17,d,2,83850,3.2
5625,Y,7,6,5.5,3.62E+05,7/17/17,6/26/17,10,0,7/6/17,d,2,278000,3.2
10403S,N,14,6,5.5,4.51E+05,7/17/17,6/26/17,10,0,7/6/17,e,2,255000,3.2
5621,N,14,6,5.5,4.58E+05,7/17/17,6/26/17,10,0,7/6/17,e,2,147000,3.2
5623,N,14,6,5.5,4.05E+05,7/17/17,6/26/17,10,0,7/6/17,e,2,233500,3.2
